pop,entry,DTH,TW,GN,GY,HI,FE
2,146,79.1790241,38.73191678,12332.75889,4.247448414,0.38629136,35.54824709
2,147,86.1790241,35.08375046,18803.94428,6.387812445,0.4229044,51.20991018
2,148,90.03179084,40.8033697,14691.93757,5.947204135,0.394830239,26.70310541
2,149,106.0317908,24.26184667,13680.95073,3.979056612,0.374261201,91.52160062
2,150,92.9691558,34.32558413,14320.18111,4.996747903,0.371075051,43.92300183
2,151,91.88455759,30.62817932,17988.54564,5.538328552,0.418800492,65.4211316
2,152,72.88455759,33.68748792,15348.42039,4.39978945,0.39828091,42.2055971
2,153,72.9691558,32.78748792,18688.10039,5.382646593,0.393998939,44.50273996
2,155,105.9949825,29.31184667,16219.24787,5.384770898,0.43488564,68.47017205
2,156,NA,NA,NA,NA,NA,NA
2,157,90.04344111,39.5633697,13999.83471,5.490061278,0.360742649,29.84596255
2,158,72.88455759,31.87748792,17080.18039,4.685503736,0.42074787,34.87988281
2,160,66.04344111,33.03565424,NA,NA,NA,NA
2,161,105.9691558,27.18184667,21488.27644,6.436199469,0.398812178,47.57874348
2,162,65.9691558,36.65565424,18385.46355,5.710853991,0.442884761,41.96107687
2,163,65.99498253,30.89565424,21792.76641,5.733711134,0.438220835,46.95536258
2,164,73.03179084,33.68748792,13150.87753,3.634075164,0.348580908,33.7255971
2,165,NA,NA,NA,NA,NA,NA
2,166,105.8845576,23.78184667,36360.65358,9.144770898,0.392060023,61.30445776
2,167,93.1790241,29.02558413,27533.24397,8.059605046,0.419706369,53.64871611
2,169,72.9691558,36.26748792,14210.74039,4.376932307,0.398366677,35.57702567
2,170,70.88455759,35.0326783,15980.3266,4.740093605,0.403446194,43.88757091
2,171,73.04344111,35.09748792,14803.1061,4.411218021,0.430907106,37.8855971
2,172,89.99498253,31.9333697,13194.36043,4.164346993,0.387659985,44.46310541
2,173,92.04344111,26.37817932,20587.81422,5.458328552,0.372335396,60.39256017
2,175,85.88455759,38.77375046,11677.19,4.296383873,0.382914108,34.66133875
2,176,79.1790241,30.50191678,17564.07318,4.841734129,0.425470171,46.79396138
2,177,100.0317908,23.10741781,24115.77794,5.91425479,0.404404558,63.04752206
2,179,71.04344111,37.1526783,14459.5266,4.511522176,0.381903663,34.83614234
2,180,86.03179084,29.87375046,17567.63571,5.027812445,0.368869191,58.87848161
2,181,100.1790241,29.02741781,19927.61794,6.142826219,0.406174046,44.81895063
2,182,71.1790241,35.6326783,20276.77231,6.420093605,0.463766177,40.0132852
2,183,71.03179084,31.0726783,18393.88088,4.877236462,0.437153139,52.21899948
2,184,92.99498253,35.13558413,14070.16969,5.019605046,0.40569389,43.24871611
2,186,89.9691558,30.9633697,15362.93186,4.70148985,0.369656788,42.69167684
1,870,105.9949825,23.54184667,12777.71644,3.670485183,0.393585274,84.29874348
1,871,85.9691558,26.35375046,20298.92714,5.130669588,0.392262578,53.49562446
1,872,93.03179084,26.68558413,23445.32397,6.322462189,0.439951918,53.83157326
1,873,89.88455759,32.2233697,24594.20043,7.878632707,0.427720145,42.57739112
1,875,113.9949825,22.82108516,14905.52016,4.400697137,0.33805316,65.5022768
1,880,93.03179084,24.78558413,13655.0154,3.465319331,0.297809723,45.43157326
1,883,90.03179084,32.1233697,19951.21757,6.358632707,0.4472638,38.81739112
1,885,85.99498253,29.98375046,21537.24714,6.250669588,0.41344873,42.79848161
1,886,89.88455759,31.9333697,12737.20614,4.015775564,0.404703279,37.40024827
1,887,105.8845576,16.40184667,15343.38501,3.167628041,0.35036183,85.81874348
1,888,85.88455759,33.37375046,16467.22428,5.279241016,0.458389481,55.50705304
1,889,93.04344111,30.02558413,17745.23254,5.408176474,0.426276917,41.12300183
1,891,113.9949825,19.51108516,14256.09159,3.794982851,0.410439005,86.53084823
1,892,89.88455759,33.7333697,17534.22329,5.867204135,0.4842551,43.02310541
1,893,114.1790241,18.89108516,15245.29159,3.886411423,0.318910375,74.45084823
1,895,114.1790241,22.49108516,14026.09159,4.160697137,0.486534347,74.61084823
1,896,90.04344111,27.8433697,17426.70329,4.804346993,0.378760594,54.92024827
1,897,86.04344111,34.31375046,16102.66428,5.302098159,NA,NA
1,901,105.8845576,22.16184667,14430.39073,3.853342326,0.261871546,59.19017205
1,902,93.1790241,33.31558413,14602.16969,4.939605046,0.413463101,29.79728754
1,904,106.0317908,17.97184667,19238.02501,4.081913755,0.388547484,94.19588634
1,905,90.03179084,25.8633697,16287.37757,4.164346993,0.455075768,52.4288197
1,908,105.8845576,19.52184667,15839.5793,3.739056612,0.385892452,100.9730292
1,910,86.03179084,30.61375046,17872.31,5.256383873,0.412216765,52.56991018
1,912,86.04344111,34.33375046,12448.66428,4.044955302,0.377918893,43.36991018
1,914,89.88455759,27.0533697,17084.60043,4.575775564,0.365578676,54.81739112
1,915,93.04344111,33.94558413,13086.18111,4.516747903,0.420624275,43.94585897
1,916,90.03179084,29.4333697,16808.61186,4.895775564,0.433023573,42.61167684
1,918,86.04344111,28.53375046,21274.92714,5.862098159,0.413534278,39.67848161
1,923,90.04344111,26.7733697,20843.83471,5.535775564,0.464582969,48.12024827
1,924,86.1790241,30.98375046,16398.61857,4.856383873,0.382429531,41.26705304
1,925,89.88455759,38.9333697,18958.95471,7.330061278,0.436144807,37.82310541
1,927,90.01249044,27.3033697,20836.94329,5.638632707,0.399331328,45.81167684
1,928,85.88455759,28.28375046,18900.31,5.130669588,0.375268099,44.93562446
1,931,93.01249044,25.98558413,20340.26111,5.362462189,0.385613811,45.90014469
1,932,113.8845576,20.62108516,14550.08016,4.012125708,0.435288731,89.78799108
1,933,99.88455759,28.42741781,17318.95508,5.297111933,0.384387554,42.65895063
1,934,113.9949825,20.41108516,12955.50873,3.669268566,0.346710294,74.89656251
1,936,105.8845576,21.73184667,14052.10501,3.704770898,0.242082493,57.61302919
1,937,86.01249044,31.30375046,12204.40143,3.587812445,0.377717776,37.15276732
1,941,93.03179084,38.12558413,10495.8154,4.082462189,0.439661575,45.98014469
1,945,93.03179084,26.45558413,16523.38111,4.448176474,0.394900655,40.48300183
1,946,90.03179084,30.6433697,15176.28043,4.598632707,0.413040814,32.38310541
1,947,93.03179084,33.97558413,13853.83826,4.779605046,0.43980253,30.5744304
1,948,114.0434411,20.51108516,18652.70873,4.789268566,0.367448809,72.24513394
1,951,89.88455759,23.2433697,15605.27471,3.570061278,0.321234081,45.9488197
1,952,114.0434411,18.17108516,12792.33159,3.349268566,0.286816556,72.33656251
1,953,90.04344111,31.6533697,14464.05186,4.530061278,0.422436918,38.95453398
1,954,90.1790241,25.7233697,22571.74329,5.752918421,0.401264549,58.2688197
1,957,89.88455759,32.4433697,14457.12614,4.632918421,0.39758616,43.2288197
1,960,89.88455759,29.6233697,13160.189,3.844346993,0.430217833,47.44596255
1,962,86.1790241,29.35375046,13810.05857,3.827812445,0.396681324,47.15276732
1,965,92.88455759,29.81558413,20786.11254,6.265319331,0.38193805,34.76871611
1,968,85.99498253,29.11375046,17043.00714,4.742098159,0.403093205,51.34705304
1,969,86.03179084,29.48375046,13937.71571,3.884955302,0.423570056,41.26705304
1,971,93.04344111,37.76558413,10954.83254,4.219605046,0.374088472,27.12300183
1,972,90.1790241,37.9733697,16657.83471,6.278632707,0.385826037,33.00024827
1,973,92.9691558,18.78558413,23564.94683,4.49389076,0.329622317,72.78014469
1,977,91.88455759,39.19817932,16908.92279,6.658328552,0.379917797,38.73541731
1,984,89.99498253,26.8633697,20211.469,5.375775564,0.409581154,49.99453398
1,986,99.88455759,27.97741781,18621.88079,5.571397648,0.376627873,44.93323635
1,987,114.1790241,19.58108516,12224.08016,3.429268566,0.38957509,88.97656251
1,990,89.9691558,29.7533697,15498.349,4.564346993,0.393733122,37.27453398
1,991,89.88455759,29.7733697,13977.75471,4.107204135,0.448237784,58.65739112
1,995,114.0434411,27.90108516,10272.42302,3.909268566,0.326897338,56.40513394
1,997,85.88455759,30.37375046,15166.99571,4.376383873,0.420723017,39.62133875
1,998,89.88455759,36.8933697,15683.309,5.730061278,0.432646077,41.61739112
1,999,93.03179084,35.19558413,14511.43826,5.179605046,0.422937487,32.91728754
1,1000,73.1790241,30.84748792,17377.06039,4.594075164,0.431071563,42.79988281
1,1001,85.99498253,25.45375046,22519.27,5.519241016,0.409644699,50.86705304
1,1002,65.88455759,25.22565424,14398.66355,2.533711134,0.3853108,56.21250544
1,1008,99.99498253,35.42741781,16294.09794,6.142826219,0.397811546,40.12180777
1,1009,85.88455759,30.52375046,15731.99,4.582098159,0.310036109,40.14705304
1,1012,86.1790241,29.81375046,21849.81857,6.307812445,0.376271834,51.70133875
1,1014,114.0317908,17.40108516,11727.12016,3.086411423,0.329439759,77.94799108
1,1015,86.1790241,32.15375046,15563.53285,4.776383873,0.406304214,53.39276732
1,1019,91.88455759,30.45817932,18363.80279,5.629757124,0.404510311,38.17541731
1,1020,113.8845576,18.35108516,13862.76587,3.566411423,0.374820056,78.99941966
1,1021,86.04344111,32.66375046,14331.04143,4.456383873,0.435388709,55.10705304
1,1023,93.1790241,29.87558413,22799.31254,6.882462189,0.414656827,46.79157326
1,1024,93.1790241,NA,NA,NA,NA,NA
1,1026,93.1790241,31.31558413,13106.28397,4.185319331,0.333970724,36.30014469
1,1027,89.9691558,25.2533697,22563.97186,5.650061278,0.367995359,38.1888197
1,1028,85.9691558,23.69375046,19717.29285,4.456383873,0.356418893,63.38133875
1,1029,86.04344111,25.52375046,20672.92714,5.062098159,0.428243836,51.20991018
1,1031,114.0434411,22.76108516,18210.90302,5.109268566,0.34004209,62.87370537
1,1034,91.88455759,29.09817932,13050.67136,3.835471409,0.330436126,40.0611316
1,1035,NA,NA,NA,NA,NA,NA
1,1036,85.99498253,29.87375046,21321.27,6.159241016,0.38772268,46.91276732
1,1037,114.0124904,18.69108516,17431.9773,4.240697137,0.387476351,92.41656251
